"id","constructorId","name","fullName"
"adams","adams","Adams","Adams"
"afm-6","afm","6","AFM 6"
"afm-8","afm","8","AFM 8"
"ags-jh21c","ags","JH21C","AGS JH21C"
"ags-jh22","ags","JH22","AGS JH22"
"ags-jh23","ags","JH23","AGS JH23"
"ags-jh23b","ags","JH23B","AGS JH23B"
"ags-jh24","ags","JH24","AGS JH24"
"ags-jh25","ags","JH25","AGS JH25"
"ags-jh25b","ags","JH25B","AGS JH25B"
"ags-jh27","ags","JH27","AGS JH27"
"alfa-romeo-158","alfa-romeo","158","Alfa Romeo 158"
"alfa-romeo-159","alfa-romeo","159","Alfa Romeo 159"
"alfa-romeo-177","alfa-romeo","177","Alfa Romeo 177"
"alfa-romeo-179","alfa-romeo","179","Alfa Romeo 179"
"alfa-romeo-179b","alfa-romeo","179B","Alfa Romeo 179B"
"alfa-romeo-179c","alfa-romeo","179C","Alfa Romeo 179C"
"alfa-romeo-179d","alfa-romeo","179D","Alfa Romeo 179D"
"alfa-romeo-182","alfa-romeo","182","Alfa Romeo 182"
"alfa-romeo-182b","alfa-romeo","182B","Alfa Romeo 182B"
"alfa-romeo-183t","alfa-romeo","183T","Alfa Romeo 183T"
"alfa-romeo-184t","alfa-romeo","184T","Alfa Romeo 184T"
"alfa-romeo-184tb","alfa-romeo","184TB","Alfa Romeo 184TB"
"alfa-romeo-185t","alfa-romeo","185T","Alfa Romeo 185T"
"alfa-romeo-c38","alfa-romeo","C38","Alfa Romeo C38"
"alfa-romeo-c39","alfa-romeo","C39","Alfa Romeo C39"
"alfa-romeo-c41","alfa-romeo","C41","Alfa Romeo C41"
"alfa-romeo-c42","alfa-romeo","C42","Alfa Romeo C42"
"alfa-romeo-c43","alfa-romeo","C43","Alfa Romeo C43"
"alfa-special-special","alfa-special","Special","Alfa Special Special"
"alphatauri-at01","alphatauri","AT01","AlphaTauri AT01"
"alphatauri-at02","alphatauri","AT02","AlphaTauri AT02"
"alphatauri-at03","alphatauri","AT03","AlphaTauri AT03"
"alphatauri-at04","alphatauri","AT04","AlphaTauri AT04"
"alpine-a521","alpine","A521","Alpine A521"
"alpine-a522","alpine","A522","Alpine A522"
"alpine-a523","alpine","A523","Alpine A523"
"alpine-a524","alpine","A524","Alpine A524"
"alpine-a525","alpine","A525","Alpine A525"
"alta-f2","alta","F2","Alta F2"
"alta-gp","alta","GP","Alta GP"
"amon-af101","amon","AF101","Amon AF101"
"andrea-moda-c4b","andrea-moda","C4B","Andrea Moda C4B"
"andrea-moda-s921","andrea-moda","S921","Andrea Moda S921"
"apollon-fly","apollon","Fly","Apollon Fly"
"arrows-a1","arrows","A1","Arrows A1"
"arrows-a10","arrows","A10","Arrows A10"
"arrows-a10b","arrows","A10B","Arrows A10B"
"arrows-a11","arrows","A11","Arrows A11"
"arrows-a11b","arrows","A11B","Arrows A11B"
"arrows-a18","arrows","A18","Arrows A18"
"arrows-a19","arrows","A19","Arrows A19"
"arrows-a2","arrows","A2","Arrows A2"
"arrows-a20","arrows","A20","Arrows A20"
"arrows-a21","arrows","A21","Arrows A21"
"arrows-a22","arrows","A22","Arrows A22"
"arrows-a23","arrows","A23","Arrows A23"
"arrows-a3","arrows","A3","Arrows A3"
"arrows-a4","arrows","A4","Arrows A4"
"arrows-a5","arrows","A5","Arrows A5"
"arrows-a6","arrows","A6","Arrows A6"
"arrows-a7","arrows","A7","Arrows A7"
"arrows-a8","arrows","A8","Arrows A8"
"arrows-a9","arrows","A9","Arrows A9"
"arrows-fa1","arrows","FA1","Arrows FA1"
"arzani-volpini-f1","arzani-volpini","F1","Arzani-Volpini F1"
"aston-butterworth-nb41","aston-butterworth","NB41","Aston Butterworth NB41"
"aston-butterworth-nb42","aston-butterworth","NB42","Aston Butterworth NB42"
"aston-martin-amr21","aston-martin","AMR21","Aston Martin AMR21"
"aston-martin-amr22","aston-martin","AMR22","Aston Martin AMR22"
"aston-martin-amr23","aston-martin","AMR23","Aston Martin AMR23"
"aston-martin-amr24","aston-martin","AMR24","Aston Martin AMR24"
"aston-martin-amr25","aston-martin","AMR25","Aston Martin AMR25"
"aston-martin-dbr4","aston-martin","DBR4","Aston Martin DBR4"
"aston-martin-dbr5","aston-martin","DBR5","Aston Martin DBR5"
"ats-100","ats","100","ATS 100"
"ats-wheels-d1","ats-wheels","D1","ATS D1"
"ats-wheels-d2","ats-wheels","D2","ATS D2"
"ats-wheels-d3","ats-wheels","D3","ATS D3"
"ats-wheels-d4","ats-wheels","D4","ATS D4"
"ats-wheels-d5","ats-wheels","D5","ATS D5"
"ats-wheels-d6","ats-wheels","D6","ATS D6"
"ats-wheels-d7","ats-wheels","D7","ATS D7"
"ats-wheels-hgs1","ats-wheels","HGS1","ATS HGS1"
"ats-wheels-hs1","ats-wheels","HS1","ATS HS1"
"balsa-special","balsa","Spécial","Balsa Spécial"
"bar-002","bar","002","BAR 002"
"bar-003","bar","003","BAR 003"
"bar-004","bar","004","BAR 004"
"bar-005","bar","005","BAR 005"
"bar-006","bar","006","BAR 006"
"bar-007","bar","006","BAR 006"
"bar-01","bar","01","BAR 01"
"behra-porsche-rsk","behra-porsche","RSK","Behra-Porsche RSK"
"bellasi-f1-70","bellasi","F1 70","Bellasi F1 70"
"benetton-b186","benetton","B186","Benetton B186"
"benetton-b187","benetton","B187","Benetton B187"
"benetton-b188","benetton","B188","Benetton B188"
"benetton-b189","benetton","B189","Benetton B189"
"benetton-b189b","benetton","B189B","Benetton B189B"
"benetton-b190","benetton","B190","Benetton B190"
"benetton-b190b","benetton","B190B","Benetton B190B"
"benetton-b191","benetton","B191","Benetton B191"
"benetton-b191b","benetton","B191B","Benetton B191B"
"benetton-b192","benetton","B192","Benetton B192"
"benetton-b193","benetton","B193","Benetton B193"
"benetton-b193b","benetton","B193B","Benetton B193B"
"benetton-b194","benetton","B194","Benetton B194"
"benetton-b195","benetton","B195","Benetton B195"
"benetton-b196","benetton","B196","Benetton B196"
"benetton-b197","benetton","B197","Benetton B197"
"benetton-b198","benetton","B198","Benetton B198"
"benetton-b199","benetton","B199","Benetton B199"
"benetton-b200","benetton","B200","Benetton B200"
"benetton-b201","benetton","B201","Benetton B201"
"bmw-269","bmw","269","BMW 269"
"bmw-sauber-f1-06","bmw-sauber","F1.06","BMW Sauber F1.06"
"bmw-sauber-f1-07","bmw-sauber","F1.07","BMW Sauber F1.07"
"bmw-sauber-f1-08","bmw-sauber","F1.08","BMW Sauber F1.08"
"bmw-sauber-f1-09","bmw-sauber","F1.09","BMW Sauber F1.09"
"boro-001","boro","001","Boro 001"
"brabham-bt10","brabham","BT10","Brabham BT10"
"brabham-bt11","brabham","BT11","Brabham BT11"
"brabham-bt16","brabham","BT16","Brabham BT16"
"brabham-bt18","brabham","BT18","Brabham BT18"
"brabham-bt19","brabham","BT19","Brabham BT19"
"brabham-bt20","brabham","BT20","Brabham BT20"
"brabham-bt22","brabham","BT22","Brabham BT22"
"brabham-bt23","brabham","BT23","Brabham BT23"
"brabham-bt23b","brabham","BT23B","Brabham BT23B"
"brabham-bt23c","brabham","BT23C","Brabham BT23C"
"brabham-bt24","brabham","BT24","Brabham BT24"
"brabham-bt26","brabham","BT26","Brabham BT26"
