"id","name","fullName","previousNames","type","direction","placeName","countryId","latitude","longitude","length","turns","totalRacesHeld"
"adelaide","Adelaide","Adelaide Street Circuit",,"STREET","CLOCKWISE","Adelaide","australia",-34.927222,138.617222,3.780,16,11
"aida","Aida","Okayama International Circuit","TI Circuit Aida","RACE","CLOCKWISE","Aida","japan",34.915,134.221111,3.703,13,2
"ain-diab","Ain-Diab","Ain-Diab Circuit",,"ROAD","CLOCKWISE","Casablanca","morocco",33.578611,-7.6875,7.618,18,1
"aintree","Aintree","Aintree Motor Racing Circuit",,"ROAD","CLOCKWISE","Aintree","united-kingdom",53.476944,-2.940556,4.828,8,5
"anderstorp","Anderstorp Raceway","Anderstorp Raceway","Scandinavian Raceway","RACE","CLOCKWISE","Anderstorp","sweden",57.264167,13.601389,4.031,8,6
"austin","Americas","Circuit of the Americas",,"RACE","ANTI_CLOCKWISE","Austin","united-states-of-america",30.132778,-97.641111,5.513,20,12
"avus","AVUS","AVUS",,"ROAD","ANTI_CLOCKWISE","Berlin","germany",52.480556,13.251389,8.300,4,1
"bahrain","Bahrain","Bahrain International Circuit",,"RACE","CLOCKWISE","Sakhir","bahrain",26.0325,50.510556,5.412,15,21
"baku","Baku","Baku City Circuit",,"STREET","ANTI_CLOCKWISE","Baku","azerbaijan",40.3725,49.853333,6.003,20,8
"brands-hatch","Brands Hatch","Brands Hatch",,"RACE","CLOCKWISE","Fawkham","united-kingdom",51.356667,0.2625,4.207,9,14
"bremgarten","Bremgarten","Circuit Bremgarten",,"ROAD","CLOCKWISE","Bern","switzerland",46.95,7.410833,7.280,13,5
"buddh","Buddh","Buddh International Circuit",,"RACE","CLOCKWISE","Greater Noida","india",28.350556,77.535,5.125,16,3
"buenos-aires","Juan y Oscar Gálvez","Autódromo Juan y Oscar Gálvez","Autódromo 17 de Octubre;Autódromo Municipal Ciudad de Buenos Aires;Autódromo Municipal del Parque Almirante Brown de la Ciudad de Buenos Aires;Autódromo Oscar Alfredo Gálvez","RACE","CLOCKWISE","Buenos Aires","argentina",-34.694272,-58.459347,4.259,19,20
"bugatti","Bugatti","Bugatti Circuit",,"RACE","CLOCKWISE","Le Mans","france",47.937694,0.225611,4.185,14,1
"caesars-palace","Caesars Palace","Caesars Palace",,"STREET","ANTI_CLOCKWISE","Las Vegas","united-states-of-america",36.116944,-115.175,3.650,14,2
"catalunya","Catalunya","Circuit de Barcelona-Catalunya",,"RACE","CLOCKWISE","Montmeló","spain",41.57,2.261111,4.657,14,34
"clermont-ferrand","Charade","Charade Circuit",,"ROAD","CLOCKWISE","Clermont-Ferrand","france",45.747222,3.038889,8.055,48,4
"dallas","Fair Park","Fair Park",,"STREET","ANTI_CLOCKWISE","Dallas","united-states-of-america",32.781944,-96.765556,3.901,23,1
"detroit","Detroit","Detroit Street Circuit",,"STREET","ANTI_CLOCKWISE","Detroit","united-states-of-america",42.32975,-83.040111,4.023,22,7
"dijon","Dijon-Prenois","Dijon-Prenois",,"RACE","CLOCKWISE","Dijon","france",47.3625,4.899167,3.801,12,6
"donington","Donington Park","Donington Park",,"RACE","CLOCKWISE","Leicestershire","united-kingdom",52.829806,-1.379556,4.023,12,1
"east-london","Prince George","Prince George Circuit",,"RACE","CLOCKWISE","East London","south-africa",-33.048611,27.873611,3.920,9,3
"estoril","Estoril","Autódromo do Estoril",,"RACE","CLOCKWISE","Estoril","portugal",38.750833,-9.394167,4.360,13,13
"fuji","Fuji","Fuji Speedway",,"RACE","CLOCKWISE","Oyama","japan",35.371667,138.926667,4.563,16,4
"hockenheimring","Hockenheimring","Hockenheimring",,"RACE","CLOCKWISE","Hockenheim","germany",49.327778,8.565833,4.574,17,37
"hungaroring","Hungaroring","Hungaroring",,"RACE","CLOCKWISE","Budapest","hungary",47.582222,19.251111,4.381,14,39
"imola","Enzo e Dino Ferrari","Autodromo Internazionale Enzo e Dino Ferrari","Autodromo Dino Ferrari","RACE","ANTI_CLOCKWISE","Imola","italy",44.341111,11.713333,4.909,19,31
"indianapolis","Indianapolis","Indianapolis Motor Speedway",,"RACE","CLOCKWISE","Indianapolis","united-states-of-america",39.798333,-86.232778,4.192,13,19
"interlagos","José Carlos Pace","Autódromo José Carlos Pace","Interlagos","RACE","ANTI_CLOCKWISE","São Paulo","brazil",-23.701111,-46.697222,4.309,15,41
"istanbul","Istanbul Park","Istanbul Park","Istanbul Otodrom","RACE","ANTI_CLOCKWISE","Istanbul","turkey",40.951667,29.405,5.338,14,9
"jacarepagua","Nelson Piquet","Autódromo Internacional Nelson Piquet","Jacarepaguá","RACE","ANTI_CLOCKWISE","Rio de Janeiro","brazil",-22.975556,-43.395,5.031,11,10
"jarama","Jarama","Circuito del Jarama","Circuito Permanente del Jarama","RACE","CLOCKWISE","Madrid","spain",40.617111,-3.585583,3.314,14,9
"jeddah","Jeddah","Jeddah Corniche Circuit",,"STREET","ANTI_CLOCKWISE","Jeddah","saudi-arabia",21.543333,39.172778,6.174,27,4
"jerez","Jerez","Circuito de Jerez","Circuito Permanente de Jerez","RACE","CLOCKWISE","Jerez de la Frontera","spain",36.708333,-6.034167,4.428,15,7
"kyalami","Kyalami","Kyalami Racing Circuit",,"RACE","ANTI_CLOCKWISE","Midrand","south-africa",-25.998611,28.068889,4.261,13,20
"las-vegas","Las Vegas","Las Vegas Street Circuit",,"STREET","ANTI_CLOCKWISE","Las Vegas","united-states-of-america",36.175,-115.136389,6.201,17,2
