"parentConstructorId","positionDisplayOrder","constructorId","yearFrom","yearTo"
"alfa-romeo",1,"sauber",1993,2005
"alfa-romeo",2,"bmw-sauber",2006,2010
"alfa-romeo",3,"sauber",2011,2018
"alfa-romeo",4,"alfa-romeo",2019,2023
"alfa-romeo",5,"kick-sauber",2024,
"alphatauri",1,"minardi",1985,2005
"alphatauri",2,"toro-rosso",2006,2019
"alphatauri",3,"alphatauri",2020,2023
"alphatauri",4,"rb",2024,2024
"alphatauri",5,"racing-bulls",2025,
"alpine",1,"toleman",1981,1985
"alpine",2,"benetton",1986,2001
"alpine",3,"renault",2002,2011
"alpine",4,"lotus-f1",2012,2015
"alpine",5,"renault",2016,2020
"alpine",6,"alpine",2021,
"andrea-moda",1,"coloni",1987,1991
"andrea-moda",2,"andrea-moda",1992,1992
"arrows",1,"arrows",1978,1990
"arrows",2,"footwork",1991,1996
"arrows",3,"arrows",1997,2002
"aston-martin",1,"jordan",1991,2005
"aston-martin",2,"midland",2006,2006
"aston-martin",3,"spyker",2007,2007
"aston-martin",4,"force-india",2008,2018
"aston-martin",5,"racing-point",2019,2020
"aston-martin",6,"aston-martin",2021,
"bar",1,"tyrrell",1970,1998
"bar",2,"bar",1999,2005
"bar",3,"honda",2006,2008
"bar",4,"brawn",2009,2009
"bar",5,"mercedes",2010,
"benetton",1,"toleman",1981,1985
"benetton",2,"benetton",1986,2001
"benetton",3,"renault",2002,2011
"benetton",4,"lotus-f1",2012,2015
"benetton",5,"renault",2016,2020
"benetton",6,"alpine",2021,
"bmw-sauber",1,"sauber",1993,2005
"bmw-sauber",2,"bmw-sauber",2006,2010
"bmw-sauber",3,"sauber",2011,2018
"bmw-sauber",4,"alfa-romeo",2019,2023
"bmw-sauber",5,"kick-sauber",2024,
"brawn",1,"tyrrell",1970,1998
"brawn",2,"bar",1999,2005
"brawn",3,"honda",2006,2008
"brawn",4,"brawn",2009,2009
"brawn",5,"mercedes",2010,
"caterham",1,"lotus-racing",2010,2011
"caterham",2,"caterham",2012,2014
"coloni",1,"coloni",1987,1991
"coloni",2,"andrea-moda",1992,1992
"fondmetal",1,"osella",1980,1990
"fondmetal",2,"fondmetal",1991,1992
"footwork",1,"arrows",1978,1990
"footwork",2,"footwork",1991,1996
"footwork",3,"arrows",1997,2002
"force-india",1,"jordan",1991,2005
"force-india",2,"midland",2006,2006
"force-india",3,"spyker",2007,2007
"force-india",4,"force-india",2008,2018
"force-india",5,"racing-point",2019,2020
"force-india",6,"aston-martin",2021,
"frank-williams-racing-cars",1,"politoys",1972,1972
"frank-williams-racing-cars",2,"iso-marlboro",1973,1974
"frank-williams-racing-cars",3,"frank-williams-racing-cars",1975,1975
"frank-williams-racing-cars",4,"wolf-williams",1976,1976
"frank-williams-racing-cars",5,"wolf",1977,1979
"honda",1,"tyrrell",1970,1998
"honda",2,"bar",1999,2005
"honda",3,"honda",2006,2008
