"parentDriverId","positionDisplayOrder","driverId","type"
"andre-pilette",1,"teddy-pilette","CHILD"
"ayrton-senna",1,"bruno-senna","SIBLINGS_CHILD"
"bruno-senna",1,"ayrton-senna","PARENTS_SIBLING"
"chanoch-nissany",1,"roy-nissany","CHILD"
"christian-fittipaldi",1,"wilson-fittipaldi","PARENT"
"christian-fittipaldi",2,"emerson-fittipaldi","PARENTS_SIBLING"
"christian-fittipaldi",3,"pietro-fittipaldi","PARENTS_SIBLINGS_CHILD"
"corrado-fabi",1,"teo-fabi","SIBLING"
"damon-hill",1,"graham-hill","PARENT"
"david-brabham",1,"jack-brabham","PARENT"
"david-brabham",2,"mike-thackwell","SIBLING_IN_LAW"
"dick-rathmann",1,"jim-rathmann","SIBLING"
"eddie-russo",1,"eddie-russo","PARENTS_SIBLING"
"emerson-fittipaldi",1,"wilson-fittipaldi","SIBLING"
"emerson-fittipaldi",2,"christian-fittipaldi","SIBLINGS_CHILD"
"emerson-fittipaldi",3,"max-papis","CHILD_IN_LAW"
"emerson-fittipaldi",4,"pietro-fittipaldi","GRANDCHILD"
"ernesto-brambilla",1,"vittorio-brambilla","SIBLING"
"gary-brabham",1,"jack-brabham","PARENT"
"gilles-villeneuve",1,"jacques-villeneuve","CHILD"
"gilles-villeneuve",2,"jacques-villeneuve-sr","SIBLING"
"graham-hill",1,"damon-hill","CHILD"
"graham-whitehead",1,"peter-whitehead","HALF_SIBLING"
"hans-joachim-stuck",1,"hans-stuck","PARENT"
"hans-stuck",1,"hans-joachim-stuck","CHILD"
"ian-scheckter",1,"jody-scheckter","SIBLING"
"jack-brabham",1,"gary-brabham","CHILD"
"jack-brabham",2,"david-brabham","CHILD"
"jackie-stewart",1,"jimmy-stewart","SIBLING"
"jacques-villeneuve-sr",1,"gilles-villeneuve","SIBLING"
"jacques-villeneuve-sr",2,"jacques-villeneuve","SIBLINGS_CHILD"
"jacques-villeneuve",1,"gilles-villeneuve","PARENT"
"jacques-villeneuve",2,"jacques-villeneuve-sr","PARENTS_SIBLING"
"jan-magnussen",1,"kevin-magnussen","CHILD"
"jean-louis-schlesser",1,"jo-schlesser","PARENTS_SIBLING"
"jim-rathmann",1,"dick-rathmann","SIBLING"
"jimmy-stewart",1,"jackie-stewart","SIBLING"
"jo-schlesser",1,"jean-louis-schlesser","SIBLINGS_CHILD"
"joachim-winkelhock",1,"manfred-winkelhock","SIBLING"
"joachim-winkelhock",2,"markus-winkelhock","SIBLINGS_CHILD"
"jody-scheckter",1,"ian-scheckter","SIBLING"
"jolyon-palmer",1,"jonathan-palmer","PARENT"
"jonathan-palmer",1,"jolyon-palmer","CHILD"
"jos-verstappen",1,"max-verstappen","CHILD"
"jules-bianchi",1,"lucien-bianchi","GRANDPARENTS_SIBLING"
"kazuki-nakajima",1,"satoru-nakajima","PARENT"
"keke-rosberg",1,"nico-rosberg","CHILD"
"kevin-magnussen",1,"jan-magnussen","PARENT"
"lucien-bianchi",1,"jules-bianchi","SIBLINGS_GRANDCHILD"
"manfred-winkelhock",1,"markus-winkelhock","CHILD"
"manfred-winkelhock",2,"joachim-winkelhock","SIBLING"
"mario-andretti",1,"michael-andretti","CHILD"
"markus-winkelhock",1,"manfred-winkelhock","PARENT"
"markus-winkelhock",2,"joachim-winkelhock","PARENTS_SIBLING"
"max-papis",1,"emerson-fittipaldi","PARENT_IN_LAW"
"max-verstappen",1,"jos-verstappen","PARENT"
"michael-andretti",1,"mario-andretti","PARENT"
"michael-schumacher",1,"mick-schumacher","CHILD"
"michael-schumacher",2,"ralf-schumacher","SIBLING"
"mick-schumacher",1,"michael-schumacher","PARENT"
"mick-schumacher",2,"ralf-schumacher","PARENTS_SIBLING"
"mike-thackwell",1,"david-brabham","SIBLING_IN_LAW"
"nelson-piquet-jr",1,"nelson-piquet","PARENT"
"nelson-piquet",1,"nelson-piquet-jr","CHILD"
"nico-rosberg",1,"keke-rosberg","PARENT"
"paul-russo",1,"eddie-russo","SIBLINGS_CHILD"
"pedro-rodriguez",1,"ricardo-rodriguez","SIBLING"
"peter-whitehead",1,"graham-whitehead","HALF_SIBLING"
"pietro-fittipaldi",1,"emerson-fittipaldi","GRANDPARENT"
"pietro-fittipaldi",2,"christian-fittipaldi","PARENTS_SIBLINGS_CHILD"
"pietro-fittipaldi",3,"max-papis","PARENTS_SIBLING"
"pietro-fittipaldi",4,"wilson-fittipaldi","GRANDPARENTS_SIBLING"
"ralf-schumacher",1,"michael-schumacher","SIBLING"
"ralf-schumacher",2,"mick-schumacher","SIBLINGS_CHILD"
"reg-parnell",1,"tim-parnell","CHILD"
"ricardo-rodriguez",1,"pedro-rodriguez","SIBLING"
"roy-nissany",1,"chanoch-nissany","PARENT"
"satoru-nakajima",1,"kazuki-nakajima","CHILD"
"teddy-pilette",1,"andre-pilette","PARENT"
"teo-fabi",1,"corrado-fabi","SIBLING"
"tim-parnell",1,"reg-parnell","PARENT"
"vittorio-brambilla",1,"ernesto-brambilla","SIBLING"
"wilson-fittipaldi",1,"christian-fittipaldi","CHILD"
"wilson-fittipaldi",2,"emerson-fittipaldi","SIBLING"
"wilson-fittipaldi",3,"pietro-fittipaldi","SIBLINGS_GRANDCHILD"
"wilson-fittipaldi",4,"max-papis","SIBLINGS_CHILD_IN_LAW"
