"id","engineManufacturerId","name","fullName","capacity","configuration","aspiration"
"acer-01a-30-v10","acer","01A","Acer 01A 3.0 V10",3.0,"V10","NATURALLY_ASPIRATED"
"alfa-romeo-115-12-30-f12","alfa-romeo","115-12","Alfa Romeo 115-12 3.0 F12",3.0,"F12","NATURALLY_ASPIRATED"
"alfa-romeo-1260-30-v12","alfa-romeo","1260","Alfa Romeo 1260 3.0 V12",3.0,"V12","NATURALLY_ASPIRATED"
"alfa-romeo-158-15-l8-s","alfa-romeo","158","Alfa Romeo 158 1.5 L8 S",1.5,"L8","SUPERCHARGED"
"alfa-romeo-890t-15-v8-t","alfa-romeo","890T","Alfa Romeo 890T 1.5 V8 T",1.5,"V8","TURBOCHARGED"
"alfa-romeo-giulietta-15-l4","alfa-romeo","Giulietta","Alfa Romeo Giulietta 1.5 L4",1.5,"L4","NATURALLY_ASPIRATED"
"alfa-romeo-t33-30-v8","alfa-romeo","T33","Alfa Romeo T33 3.0 V8",3.0,"V8","NATURALLY_ASPIRATED"
"alta-15-l4-s","alta","Alta","Alta 1.5 L4 S",1.5,"L4","SUPERCHARGED"
"alta-f2-20-l4","alta","F2","Alta F2 2.0 L4",2.0,"L4","NATURALLY_ASPIRATED"
"alta-gp-25-l4","alta","GP","Alta GP 2.5 L4",2.5,"L4","NATURALLY_ASPIRATED"
"arrows-a20e-30-v10","arrows","A20E","Arrows A20E 3.0 V10",3.0,"V10","NATURALLY_ASPIRATED"
"arrows-t2-f1-30-v10","arrows","T2-F1","Arrows T2-F1 3.0 V10",3.0,"V10","NATURALLY_ASPIRATED"
"asiatech-001-30-v10","asiatech","001","Asiatech 001 3.0 V10",3.0,"V10","NATURALLY_ASPIRATED"
"asiatech-at02-30-v10","asiatech","AT02","Asiatech AT02 3.0 V10",3.0,"V10","NATURALLY_ASPIRATED"
"aston-martin-rb6-25-l6","aston-martin","RB6","Aston Martin RB6 2.5 L6",2.5,"L6","NATURALLY_ASPIRATED"
"ats-100-15-v8","ats","100","ATS 100 1.5 V8",1.5,"V8","NATURALLY_ASPIRATED"
"ats-27-v8","ats","ATS","ATS 2.7 V8",2.7,"V8","NATURALLY_ASPIRATED"
"bmw-328-20-l6","bmw","328","BMW 328 2.0 L6",2.0,"L6","NATURALLY_ASPIRATED"
"bmw-e41-30-v10","bmw","E41","BMW E41 3.0 V10",3.0,"V10","NATURALLY_ASPIRATED"
"bmw-m10-20-l4","bmw","M10","BMW M10 2.0 L4",2.0,"L4","NATURALLY_ASPIRATED"
