"id","year","round","date","time","grandPrixId","officialName","qualifyingFormat","sprintQualifyingFormat","circuitId","circuitType","direction","courseLength","turns","laps","distance","scheduledLaps","scheduledDistance","driversChampionshipDecider","constructorsChampionshipDecider","preQualifyingDate","preQualifyingTime","freePractice1Date","freePractice1Time","freePractice2Date","freePractice2Time","freePractice3Date","freePractice3Time","freePractice4Date","freePractice4Time","qualifying1Date","qualifying1Time","qualifying2Date","qualifying2Time","qualifyingDate","qualifyingTime","sprintQualifyingDate","sprintQualifyingTime","sprintRaceDate","sprintRaceTime","warmingUpDate","warmingUpTime"
1,1950,1,"1950-05-13",,"great-britain","1950 RAC British Grand Prix","TWO_SESSION",,"silverstone","RACE","CLOCKWISE",4.649,8,70,325.430,,,false,false,,,,,,,,,,,,,,,,,,,,,,
2,1950,2,"1950-05-21",,"monaco","Grand Prix de Monaco 1950","TWO_SESSION",,"monaco","STREET","CLOCKWISE",3.180,14,100,318.000,,,false,false,,,,,,,,,,,,,,,,,,,,,,
3,1950,3,"1950-05-30",,"indianapolis","1950 Indianapolis 500","FOUR_LAPS",,"indianapolis","RACE","CLOCKWISE",4.023,4,138,555.224,200,804.672,false,false,,,,,,,,,,,,,,,,,,,,,,
4,1950,4,"1950-06-04",,"switzerland","Grosser Preis der Schweiz 1950","TWO_SESSION",,"bremgarten","ROAD","CLOCKWISE",7.280,13,42,305.760,,,false,false,,,,,,,,,,,,,,,,,,,,,,
5,1950,5,"1950-06-18",,"belgium","1950 Belgian Grand Prix","TWO_SESSION",,"spa-francorchamps","ROAD","CLOCKWISE",14.120,21,35,494.200,,,false,false,,,,,,,,,,,,,,,,,,,,,,
6,1950,6,"1950-07-02",,"france","Grand Prix de France 1950","TWO_SESSION",,"reims","ROAD","CLOCKWISE",7.815,5,64,500.160,,,false,false,,,,,,,,,,,,,,,,,,,,,,
7,1950,7,"1950-09-03",,"italy","Gran Premio d'Italia 1950","TWO_SESSION",,"monza","RACE","CLOCKWISE",6.300,5,80,504.000,,,true,false,,,,,,,,,,,,,,,,,,,,,,
8,1951,1,"1951-05-27",,"switzerland","Grosser Preis der Schweiz 1951","TWO_SESSION",,"bremgarten","ROAD","CLOCKWISE",7.280,13,42,305.760,,,false,false,,,,,,,,,,,,,,,,,,,,,,
9,1951,2,"1951-05-30",,"indianapolis","1951 Indianapolis 500","FOUR_LAPS",,"indianapolis","RACE","CLOCKWISE",4.023,4,200,804.672,,,false,false,,,,,,,,,,,,,,,,,,,,,,
10,1951,3,"1951-06-17",,"belgium","1951 Belgian Grand Prix","TWO_SESSION",,"spa-francorchamps","ROAD","CLOCKWISE",14.120,21,36,508.320,,,false,false,,,,,,,,,,,,,,,,,,,,,,
11,1951,4,"1951-07-01",,"france","Grand Prix de France 1951","TWO_SESSION",,"reims","ROAD","CLOCKWISE",7.815,5,77,601.755,,,false,false,,,,,,,,,,,,,,,,,,,,,,
